reporterCode,partnerCode,flowCode,primaryValue,fobvalue,cifvalue,hs2
528,616,M,8666706.934,,8666706.934,01
528,616,M,616334867.939,,616334867.939,02
528,616,M,76635075.833,,76635075.833,03
528,616,M,190633667.538,,190633667.538,04
528,616,M,17745375.447,,17745375.447,05
528,616,M,31907926.533,,31907926.533,06
528,616,M,95516237.474,,95516237.474,07
528,616,M,123119287.969,,123119287.969,08
528,616,M,141249591.462,,141249591.462,09
528,616,M,160043438.554,,160043438.554,10
528,616,M,31426675.285,,31426675.285,11
528,616,M,43537501.689,,43537501.689,12
528,616,M,888032.554,,888032.554,13
528,616,M,1829703.554,,1829703.554,14
528,616,M,198686218.81,,198686218.81,15
528,616,M,111458408.205,,111458408.205,16
528,616,M,46749540.389,,46749540.389,17
528,616,M,164493460.728,,164493460.728,18
528,616,M,141161960.857,,141161960.857,19
528,616,M,189691723.778,,189691723.778,20
528,616,M,216213914.558,,216213914.558,21
528,616,M,96183120.217,,96183120.217,22
528,616,M,95592446.8,,95592446.8,23
528,616,M,151007552.211,,151007552.211,24
528,616,M,4074371.212,,4074371.212,25
528,616,M,3722491.489,,3722491.489,26
528,616,M,580019884.325,,580019884.325,27
528,616,M,58339945.279,,58339945.279,28
528,616,M,56645688.651,,56645688.651,29
528,616,M,198631633.281,,198631633.281,30
528,616,M,14605630.021,,14605630.021,31
528,616,M,48220874.267,,48220874.267,32
528,616,M,205707825.424,,205707825.424,33
528,616,M,143393701.645,,143393701.645,34
528,616,M,46592870.147,,46592870.147,35
528,616,M,4781874.611,,4781874.611,36
528,616,M,3203899.198,,3203899.198,37
528,616,M,158246493.244,,158246493.244,38
528,616,M,826686048.17,,826686048.17,39
528,616,M,147999623.407,,147999623.407,40
528,616,M,3959335.816,,3959335.816,41
528,616,M,53392057.317,,53392057.317,42
528,616,M,3063331.53,,3063331.53,43
528,616,M,221808832.24,,221808832.24,44
528,616,M,278594.989,,278594.989,45
528,616,M,3513741.429,,3513741.429,46
528,616,M,9146107.31,,9146107.31,47
528,616,M,274148311.361,,274148311.361,48
528,616,M,84115498.112,,84115498.112,49
528,616,M,55387.573,,55387.573,50
528,616,M,378900.269,,378900.269,51
528,616,M,1175736.857,,1175736.857,52
528,616,M,84371.557,,84371.557,53
528,616,M,29785915.311,,29785915.311,54
528,616,M,1804034.902,,1804034.902,55
528,616,M,15547429.825,,15547429.825,56
528,616,M,26943453.255,,26943453.255,57
528,616,M,3027686.577,,3027686.577,58
528,616,M,7488948.19,,7488948.19,59
528,616,M,2923725.016,,2923725.016,60
528,616,M,305138522.138,,305138522.138,61
528,616,M,458021358.026,,458021358.026,62
528,616,M,117005499.824,,117005499.824,63
528,616,M,188349916.204,,188349916.204,64
528,616,M,8700178.467,,8700178.467,65
528,616,M,3743926.952,,3743926.952,66
528,616,M,413072.102,,413072.102,67
528,616,M,66591475.963,,66591475.963,68
528,616,M,35709996.798,,35709996.798,69
528,616,M,95432043.427,,95432043.427,70
528,616,M,8693148.406,,8693148.406,71
528,616,M,60070754.978,,60070754.978,72
528,616,M,455554144.287,,455554144.287,73
528,616,M,19078210.086,,19078210.086,74
528,616,M,927554.594,,927554.594,75
528,616,M,284973862.923,,284973862.923,76
528,616,M,936187.661,,936187.661,78
528,616,M,13878011.663,,13878011.663,79
528,616,M,9442885.209,,9442885.209,80
528,616,M,2263383.098,,2263383.098,81
528,616,M,56040267.799,,56040267.799,82
528,616,M,169417410.763,,169417410.763,83
528,616,M,1592484407.134,,1592484407.134,84
528,616,M,1667992597.187,,1667992597.187,85
528,616,M,216727382.859,,216727382.859,86
528,616,M,999808398.541,,999808398.541,87
528,616,M,1413568.316,,1413568.316,88
528,616,M,83932277.077,,83932277.077,89
528,616,M,339201209.477,,339201209.477,90
528,616,M,6408509.52,,6408509.52,91
528,616,M,696046.402,,696046.402,92
528,616,M,868447.962,,868447.962,93
528,616,M,1016946756.626,,1016946756.626,94
528,616,M,61988525.336,,61988525.336,95
528,616,M,123211048.938,,123211048.938,96
528,616,M,383530.692,,383530.692,97
