reporterCode,partnerCode,flowCode,primaryValue,fobvalue,cifvalue,hs2
616,276,X,31435312.0,31435312.0,,01
616,276,X,1530028692.0,1530028692.0,,02
616,276,X,1253474129.0,1253474129.0,,03
616,276,X,838718512.0,838718512.0,,04
616,276,X,121366805.0,121366805.0,,05
616,276,X,35881161.0,35881161.0,,06
616,276,X,462895133.0,462895133.0,,07
616,276,X,377997862.0,377997862.0,,08
616,276,X,85765009.0,85765009.0,,09
616,276,X,911725363.0,911725363.0,,10
616,276,X,141239510.0,141239510.0,,11
616,276,X,366942582.0,366942582.0,,12
616,276,X,10970219.0,10970219.0,,13
616,276,X,1687338.0,1687338.0,,14
616,276,X,337583277.0,337583277.0,,15
616,276,X,670336011.0,670336011.0,,16
616,276,X,354129573.0,354129573.0,,17
616,276,X,761465491.0,761465491.0,,18
616,276,X,1055512677.0,1055512677.0,,19
616,276,X,726008250.0,726008250.0,,20
616,276,X,789583021.0,789583021.0,,21
616,276,X,288502911.0,288502911.0,,22
616,276,X,1181896471.0,1181896471.0,,23
616,276,X,2399918155.0,2399918155.0,,24
616,276,X,65349869.0,65349869.0,,25
616,276,X,21580317.0,21580317.0,,26
616,276,X,1120350509.0,1120350509.0,,27
616,276,X,321596614.0,321596614.0,,28
616,276,X,668330984.0,668330984.0,,29
616,276,X,1457399994.0,1457399994.0,,30
616,276,X,215997583.0,215997583.0,,31
616,276,X,235876130.0,235876130.0,,32
616,276,X,1168351937.0,1168351937.0,,33
616,276,X,1035548013.0,1035548013.0,,34
616,276,X,107627209.0,107627209.0,,35
616,276,X,21097453.0,21097453.0,,36
616,276,X,6712925.0,6712925.0,,37
616,276,X,1376793960.0,1376793960.0,,38
616,276,X,5074722007.0,5074722007.0,,39
616,276,X,1561725081.0,1561725081.0,,40
616,276,X,37627214.0,37627214.0,,41
616,276,X,447610344.0,447610344.0,,42
616,276,X,5235905.0,5235905.0,,43
616,276,X,1826192585.0,1826192585.0,,44
616,276,X,2590488.0,2590488.0,,45
616,276,X,23793984.0,23793984.0,,46
616,276,X,240903744.0,240903744.0,,47
616,276,X,2037726228.0,2037726228.0,,48
616,276,X,870986199.0,870986199.0,,49
616,276,X,2921.0,2921.0,,50
616,276,X,18357352.0,18357352.0,,51
616,276,X,4799172.0,4799172.0,,52
616,276,X,3519494.0,3519494.0,,53
616,276,X,52072237.0,52072237.0,,54
616,276,X,11824088.0,11824088.0,,55
616,276,X,101960781.0,101960781.0,,56
616,276,X,83869574.0,83869574.0,,57
616,276,X,24752618.0,24752618.0,,58
616,276,X,110882510.0,110882510.0,,59
616,276,X,22368178.0,22368178.0,,60
616,276,X,2443247001.0,2443247001.0,,61
616,276,X,3300291867.0,3300291867.0,,62
616,276,X,533088858.0,533088858.0,,63
616,276,X,1329171907.0,1329171907.0,,64
616,276,X,107636435.0,107636435.0,,65
616,276,X,18778902.0,18778902.0,,66
616,276,X,13029625.0,13029625.0,,67
616,276,X,528399860.0,528399860.0,,68
616,276,X,579415194.0,579415194.0,,69
616,276,X,786861201.0,786861201.0,,70
616,276,X,354335429.0,354335429.0,,71
616,276,X,1185731230.0,1185731230.0,,72
616,276,X,3947809609.0,3947809609.0,,73
616,276,X,1650611366.0,1650611366.0,,74
616,276,X,6572068.0,6572068.0,,75
616,276,X,1611905032.0,1611905032.0,,76
616,276,X,34191920.0,34191920.0,,78
616,276,X,94265046.0,94265046.0,,79
616,276,X,50788377.0,50788377.0,,80
616,276,X,16713693.0,16713693.0,,81
616,276,X,402251498.0,402251498.0,,82
616,276,X,699441701.0,699441701.0,,83
616,276,X,12243194250.0,12243194250.0,,84
616,276,X,13577207222.0,13577207222.0,,85
616,276,X,473362528.0,473362528.0,,86
616,276,X,12380464257.0,12380464257.0,,87
616,276,X,63184998.0,63184998.0,,88
616,276,X,192078939.0,192078939.0,,89
616,276,X,1585969554.0,1585969554.0,,90
616,276,X,55059885.0,55059885.0,,91
616,276,X,21956663.0,21956663.0,,92
616,276,X,20979550.0,20979550.0,,93
616,276,X,6021445152.0,6021445152.0,,94
616,276,X,1002813677.0,1002813677.0,,95
616,276,X,459818880.0,459818880.0,,96
616,276,X,1925316.0,1925316.0,,97
