reporterCode,partnerCode,flowCode,primaryValue,fobvalue,cifvalue,hs2
616,842,X,2382311.0,2382311.0,,01
616,842,X,37431346.0,37431346.0,,02
616,842,X,91163969.0,91163969.0,,03
616,842,X,17204913.0,17204913.0,,04
616,842,X,11139249.0,11139249.0,,05
616,842,X,624145.0,624145.0,,06
616,842,X,29887163.0,29887163.0,,07
616,842,X,4941810.0,4941810.0,,08
616,842,X,28659388.0,28659388.0,,09
616,842,X,32993794.0,32993794.0,,10
616,842,X,31903800.0,31903800.0,,11
616,842,X,8641888.0,8641888.0,,12
616,842,X,1280243.0,1280243.0,,13
616,842,X,53274.0,53274.0,,14
616,842,X,2080811.0,2080811.0,,15
616,842,X,101454629.0,101454629.0,,16
616,842,X,35914738.0,35914738.0,,17
616,842,X,129383603.0,129383603.0,,18
616,842,X,83109894.0,83109894.0,,19
616,842,X,70158918.0,70158918.0,,20
616,842,X,44905064.0,44905064.0,,21
616,842,X,52189180.0,52189180.0,,22
616,842,X,34970245.0,34970245.0,,23
616,842,X,1404142.0,1404142.0,,24
616,842,X,12058715.0,12058715.0,,25
616,842,X,416502.0,416502.0,,26
616,842,X,29222915.0,29222915.0,,27
616,842,X,76100018.0,76100018.0,,28
616,842,X,90701951.0,90701951.0,,29
616,842,X,36203761.0,36203761.0,,30
616,842,X,2516968.0,2516968.0,,31
616,842,X,15599574.0,15599574.0,,32
616,842,X,89182866.0,89182866.0,,33
616,842,X,65690236.0,65690236.0,,34
616,842,X,32162050.0,32162050.0,,35
616,842,X,2318006.0,2318006.0,,36
616,842,X,158925.0,158925.0,,37
616,842,X,111319689.0,111319689.0,,38
616,842,X,300329506.0,300329506.0,,39
616,842,X,177580524.0,177580524.0,,40
616,842,X,248511.0,248511.0,,41
616,842,X,12525132.0,12525132.0,,42
616,842,X,1489921.0,1489921.0,,43
616,842,X,105189569.0,105189569.0,,44
616,842,X,40900.0,40900.0,,45
616,842,X,241377.0,241377.0,,46
616,842,X,147558.0,147558.0,,47
616,842,X,78972230.0,78972230.0,,48
616,842,X,79982574.0,79982574.0,,49
616,842,X,2386.0,2386.0,,50
616,842,X,50229.0,50229.0,,51
616,842,X,223326.0,223326.0,,52
616,842,X,1032030.0,1032030.0,,53
616,842,X,202984.0,202984.0,,54
616,842,X,57797.0,57797.0,,55
616,842,X,22601964.0,22601964.0,,56
616,842,X,5851069.0,5851069.0,,57
616,842,X,1040262.0,1040262.0,,58
616,842,X,3758556.0,3758556.0,,59
616,842,X,835367.0,835367.0,,60
616,842,X,49772693.0,49772693.0,,61
616,842,X,33949609.0,33949609.0,,62
616,842,X,12041394.0,12041394.0,,63
616,842,X,13631529.0,13631529.0,,64
616,842,X,4185243.0,4185243.0,,65
616,842,X,622994.0,622994.0,,66
616,842,X,274618.0,274618.0,,67
616,842,X,25893033.0,25893033.0,,68
616,842,X,66831600.0,66831600.0,,69
616,842,X,59655167.0,59655167.0,,70
616,842,X,398781530.0,398781530.0,,71
616,842,X,42020898.0,42020898.0,,72
616,842,X,244035426.0,244035426.0,,73
616,842,X,49305153.0,49305153.0,,74
616,842,X,14509859.0,14509859.0,,75
616,842,X,113018076.0,113018076.0,,76
616,842,X,41340.0,41340.0,,78
616,842,X,649521.0,649521.0,,79
616,842,X,37463339.0,37463339.0,,80
616,842,X,14540911.0,14540911.0,,81
616,842,X,38139936.0,38139936.0,,82
616,842,X,96217622.0,96217622.0,,83
616,842,X,4046034600.0,4046034600.0,,84
616,842,X,1817579401.0,1817579401.0,,85
616,842,X,21843765.0,21843765.0,,86
616,842,X,391387497.0,391387497.0,,87
616,842,X,373245574.0,373245574.0,,88
616,842,X,307431223.0,307431223.0,,89
616,842,X,1358659831.0,1358659831.0,,90
616,842,X,3170016.0,3170016.0,,91
616,842,X,6057022.0,6057022.0,,92
616,842,X,30074287.0,30074287.0,,93
616,842,X,605054932.0,605054932.0,,94
616,842,X,84898554.0,84898554.0,,95
616,842,X,5308304.0,5308304.0,,96
616,842,X,6449649.0,6449649.0,,97
