reporterCode,partnerCode,flowCode,primaryValue,fobvalue,cifvalue,hs2
276,616,M,46481567.994,,46481567.994,01
276,616,M,1321268000.756,,1321268000.756,02
276,616,M,989239927.313,,989239927.313,03
276,616,M,790967244.191,,790967244.191,04
276,616,M,102123714.776,,102123714.776,05
276,616,M,31058271.009,,31058271.009,06
276,616,M,397576164.026,,397576164.026,07
276,616,M,372241383.124,,372241383.124,08
276,616,M,115731309.499,,115731309.499,09
276,616,M,906118821.038,,906118821.038,10
276,616,M,118117908.732,,118117908.732,11
276,616,M,423402606.831,,423402606.831,12
276,616,M,10276534.226,,10276534.226,13
276,616,M,1558922.59,,1558922.59,14
276,616,M,326586506.77,,326586506.77,15
276,616,M,763997517.368,,763997517.368,16
276,616,M,276598643.19,,276598643.19,17
276,616,M,629574569.896,,629574569.896,18
276,616,M,1074786664.069,,1074786664.069,19
276,616,M,584984982.129,,584984982.129,20
276,616,M,677479530.423,,677479530.423,21
276,616,M,281369880.034,,281369880.034,22
276,616,M,906356753.631,,906356753.631,23
276,616,M,2434276113.978,,2434276113.978,24
276,616,M,56398114.195,,56398114.195,25
276,616,M,27958770.977,,27958770.977,26
276,616,M,969577768.473,,969577768.473,27
276,616,M,217149402.017,,217149402.017,28
276,616,M,620030097.91,,620030097.91,29
276,616,M,544555064.111,,544555064.111,30
276,616,M,170459388.632,,170459388.632,31
276,616,M,166133337.29,,166133337.29,32
276,616,M,827064443.239,,827064443.239,33
276,616,M,954577833.945,,954577833.945,34
276,616,M,80576871.015,,80576871.015,35
276,616,M,15206325.036,,15206325.036,36
276,616,M,1415614.157,,1415614.157,37
276,616,M,1217091306.046,,1217091306.046,38
276,616,M,3732441493.055,,3732441493.055,39
276,616,M,1363741523.371,,1363741523.371,40
276,616,M,54909444.289,,54909444.289,41
276,616,M,53066798.017,,53066798.017,42
276,616,M,965923.84,,965923.84,43
276,616,M,1422281431.193,,1422281431.193,44
276,616,M,1517896.188,,1517896.188,45
276,616,M,5605904.909,,5605904.909,46
276,616,M,184467484.323,,184467484.323,47
276,616,M,1768599800.4,,1768599800.4,48
276,616,M,654655433.919,,654655433.919,49
276,616,M,2226.734,,2226.734,50
276,616,M,18725674.0,,18725674.0,51
276,616,M,1621613.807,,1621613.807,52
276,616,M,829697.994,,829697.994,53
276,616,M,37245158.685,,37245158.685,54
276,616,M,9613750.145,,9613750.145,55
276,616,M,91079750.432,,91079750.432,56
276,616,M,28095413.877,,28095413.877,57
276,616,M,12003697.339,,12003697.339,58
276,616,M,132457936.644,,132457936.644,59
276,616,M,21387253.447,,21387253.447,60
276,616,M,254301435.003,,254301435.003,61
276,616,M,384297924.798,,384297924.798,62
276,616,M,275999472.457,,275999472.457,63
276,616,M,252602581.281,,252602581.281,64
276,616,M,33731118.255,,33731118.255,65
276,616,M,4672929.403,,4672929.403,66
276,616,M,3746060.912,,3746060.912,67
276,616,M,442528346.932,,442528346.932,68
276,616,M,266000056.109,,266000056.109,69
276,616,M,587665693.677,,587665693.677,70
276,616,M,334114333.887,,334114333.887,71
276,616,M,1017165099.227,,1017165099.227,72
276,616,M,2985068833.212,,2985068833.212,73
276,616,M,1452626051.125,,1452626051.125,74
276,616,M,4866466.676,,4866466.676,75
276,616,M,1082099501.816,,1082099501.816,76
276,616,M,29933498.75,,29933498.75,78
276,616,M,88240052.145,,88240052.145,79
276,616,M,48339710.242,,48339710.242,80
276,616,M,21510371.424,,21510371.424,81
276,616,M,291484740.77,,291484740.77,82
276,616,M,573749485.096,,573749485.096,83
276,616,M,11562473886.205,,11562473886.205,84
276,616,M,10375986163.535,,10375986163.535,85
276,616,M,454681660.91,,454681660.91,86
276,616,M,11067538079.925,,11067538079.925,87
276,616,M,23702711.398,,23702711.398,88
276,616,M,66363431.642,,66363431.642,89
276,616,M,1368049012.654,,1368049012.654,90
276,616,M,26911791.91,,26911791.91,91
276,616,M,6865445.42,,6865445.42,92
276,616,M,1141485.865,,1141485.865,93
276,616,M,5005956016.19,,5005956016.19,94
276,616,M,230952809.998,,230952809.998,95
276,616,M,377320892.218,,377320892.218,96
276,616,M,317188.619,,317188.619,97
